Event Log,Drift Perspective,Drift Type,Drift Specific Information,Drift Start Timestamp,Drift End Timestamp,Noise Proportion,Activities Added,Activities Deleted,Activities Moved
event_log_12,control-flow,incremental,5 versions of the process model,2020-03-26 09:32:01,2020-04-02 08:30:21 (0.7),0.0734,"[Random activity 1, Random activity 2]","[f, h]",[]
event_log_13,control-flow,incremental,3 versions of the process model,2020-03-20 19:58:41,2020-04-05 13:33:36 (0.77),0.0964,[Random activity 1],[e],[]
event_log_14,control-flow,sudden,N/A,2020-03-25 12:01:54,N/A,0.0862,[],[],"[e, g, f, h]"
event_log_15,control-flow,recurring,3 seasonal changes,2020-03-22 17:04:04,2020-03-27 15:05:24 (0.72),0.0117,[],"[f, e]","[b, c]"
event_log_16,control-flow,gradual,exponential distribution,2020-03-18 11:52:11,2020-03-23 10:06:50 (0.44),0.0466,[],[h],"[f, e]"
event_log_17,control-flow,recurring,5 seasonal changes,2020-03-24 18:50:41,2020-03-30 09:40:23 (0.68),0.0283,[],[e],"[g, b]"
event_log_18,control-flow,incremental,6 versions of the process model,2020-03-17 15:26:27,2020-03-23 10:54:17 (0.39),0.014,"[Random activity 1, Random activity 2, Random activity 3, Random activity 4]",[Random activity 3],[]
event_log_19,control-flow,gradual,linear distribution,2020-03-18 11:21:49,2020-03-28 13:20:49 (0.64),0.0384,[Random activity 1],[],"[f, h]"
event_log_20,control-flow,incremental,6 versions of the process model,2020-03-24 04:32:17,2020-03-30 04:36:00 (0.76),0.0287,[Random activity 1],"[j, b, d, e]",[]
event_log_21,control-flow,incremental,5 versions of the process model,2020-03-19 18:46:30,2020-03-31 21:28:06 (0.69),0.0147,"[Random activity 1, Random activity 2]","[g, i]",[]
event_log_22,control-flow,recurring,3 seasonal changes,2020-03-21 14:17:49,2020-03-29 16:35:35 (0.74),0.0,[Random activity 1],[],"[f, h]"
event_log_23,control-flow,sudden,N/A,2020-03-23 06:59:45,N/A,0.0099,[],[],"[g, f, h]"
event_log_24,control-flow,sudden,N/A,2020-03-20 04:13:31,N/A,0.0155,"[Random activity 1, Random activity 2]",[b],[]
event_log_25,control-flow,gradual,linear distribution,2020-03-29 17:29:33,2020-04-05 07:30:49 (0.79),0.0361,[],[f],[]
event_log_26,control-flow,incremental,4 versions of the process model,2020-03-21 05:50:32,2020-03-26 20:21:08 (0.61),0.0484,[],"[e, h, i]",[]
event_log_27,control-flow,recurring,1 seasonal changes,2020-03-25 23:29:15,2020-03-31 18:22:52 (0.71),0.0839,[Random activity 1],"[b, a]",[]
event_log_28,control-flow,incremental,5 versions of the process model,2020-03-16 01:49:31,2020-03-22 01:08:54 (0.48),0.0411,"[Random activity 1, Random activity 2]","[f, g]",[]
event_log_29,control-flow,recurring,5 seasonal changes,2020-03-22 21:25:31,2020-03-27 04:43:11 (0.72),0.0245,[],[],"[h, g]"
event_log_30,control-flow,incremental,4 versions of the process model,2020-03-26 15:35:44,2020-03-29 15:56:26 (0.72),0.0308,[],"[c, a, h]",[]
event_log_31,control-flow,gradual,linear distribution,2020-03-21 14:23:21,2020-03-28 06:28:30 (0.67),0.0764,[],[d],[]
event_log_32,control-flow,recurring,3 seasonal changes,2020-03-20 18:31:21,2020-03-26 15:44:04 (0.71),0.0547,[],[],"[b, c]"
event_log_33,control-flow,recurring,1 seasonal changes,2020-03-17 15:57:35,2020-03-21 23:11:01 (0.71),0.0334,[Random activity 1],"[b, c, g]",[]
event_log_34,control-flow,sudden,N/A,2020-03-25 15:22:11,N/A,0.0313,[],[],"[j, a, i]"
event_log_35,control-flow,recurring,3 seasonal changes,2020-03-15 22:22:47,2020-03-28 09:42:21 (0.6),0.0121,[],"[f, h, j]",[]
event_log_36,control-flow,incremental,3 versions of the process model,2020-03-24 15:10:45,2020-03-27 10:57:07 (0.77),0.056,[],"[a, f]",[]
event_log_37,control-flow,gradual,exponential distribution,2020-03-16 16:53:43,2020-03-31 21:28:27 (0.7),0.0714,"[Random activity 1, Random activity 2]","[e, h]",[]
event_log_38,control-flow,gradual,exponential distribution,2020-03-21 04:30:23,2020-03-29 10:27:14 (0.74),0.0161,[],[f],[]
event_log_39,control-flow,recurring,3 seasonal changes,2020-03-25 19:37:16,2020-03-30 04:48:24 (0.77),0.0015,[Random activity 1],[],[]
event_log_40,control-flow,recurring,5 seasonal changes,2020-03-18 20:47:47,2020-03-24 12:22:38 (0.77),0.0297,[],[j],[]
event_log_41,control-flow,sudden,N/A,2020-03-16 04:33:02,N/A,0.0133,"[Random activity 1, Random activity 2]",[i],[]
event_log_42,control-flow,recurring,5 seasonal changes,2020-03-24 17:28:44,2020-03-30 23:38:18 (0.79),0.0981,"[Random activity 1, Random activity 2]",[e],[]
event_log_43,control-flow,incremental,6 versions of the process model,2020-03-22 15:35:27,2020-03-27 16:31:21 (0.58),0.0268,"[Random activity 1, Random activity 2]","[c, j, i]",[]
event_log_44,control-flow,sudden,N/A,2020-03-16 04:26:12,N/A,0.0669,[],"[h, b]","[a, i]"
event_log_45,control-flow,incremental,6 versions of the process model,2020-03-29 19:43:50,2020-04-06 09:56:29 (0.77),0.0173,"[Random activity 1, Random activity 1, Random activity 2, Random activity 3]",[Random activity 1],[]
event_log_46,control-flow,recurring,1 seasonal changes,2020-03-27 00:52:57,2020-04-01 10:39:19 (0.64),0.0124,[],[],"[g, f, h]"
event_log_47,control-flow,incremental,3 versions of the process model,2020-03-21 00:17:54,2020-03-25 21:42:33 (0.55),0.0466,[],"[j, h]",[]
event_log_48,control-flow,gradual,linear distribution,2020-03-17 15:41:06,2020-03-22 23:03:23 (0.36),0.0383,[Random activity 1],[],"[f, h]"
event_log_49,control-flow,recurring,5 seasonal changes,2020-03-22 02:32:13,2020-04-04 08:17:56 (0.75),0.0931,"[Random activity 1, Random activity 2]",[],"[f, h]"
event_log_50,control-flow,sudden,N/A,2020-03-25 07:54:27,N/A,0.0676,[],[],"[f, h]"
event_log_51,control-flow,gradual,exponential distribution,2020-03-20 12:38:18,2020-03-29 17:25:53 (0.78),0.0945,[],[],"[f, h]"
event_log_52,control-flow,gradual,linear distribution,2020-03-23 04:38:27,2020-03-27 05:27:54 (0.71),0.0598,[],[j],"[b, c]"
event_log_53,control-flow,incremental,3 versions of the process model,2020-03-19 08:58:44,2020-03-22 12:26:29 (0.56),0.0786,[Random activity 1],[i],"[j, e]"
event_log_54,control-flow,incremental,3 versions of the process model,2020-03-16 23:17:56,2020-03-23 15:07:11 (0.53),0.0767,"[Random activity 1, Random activity 2]",[],[]
event_log_55,control-flow,sudden,N/A,2020-03-16 04:52:23,N/A,0.0653,[Random activity 1],"[e, b]",[]
event_log_56,control-flow,recurring,5 seasonal changes,2020-03-23 19:32:19,2020-03-29 08:03:17 (0.69),0.0981,[Random activity 1],[g],[]
event_log_57,control-flow,sudden,N/A,2020-03-20 12:31:21,N/A,0.0891,[Random activity 1],[b],[]
event_log_58,control-flow,gradual,exponential distribution,2020-03-24 04:30:46,2020-03-31 01:12:45 (0.76),0.0754,[],[],"[h, d]"
event_log_59,control-flow,incremental,6 versions of the process model,2020-03-18 17:38:27,2020-03-28 08:53:03 (0.74),0.0279,"[Random activity 1, Random activity 2]","[h, g, e]",[]
event_log_60,control-flow,recurring,3 seasonal changes,2020-03-24 10:57:15,2020-03-28 10:09:04 (0.64),0.008,"[Random activity 1, Random activity 2]",[f],[]
event_log_61,control-flow,recurring,5 seasonal changes,2020-03-30 20:59:51,2020-04-04 16:39:33 (0.79),0.0414,[],[],"[a, i, b, c]"
event_log_62,control-flow,incremental,4 versions of the process model,2020-03-27 09:47:02,2020-04-07 20:36:47 (0.78),0.0927,[Random activity 1],"[e, j]",[]
event_log_63,control-flow,incremental,3 versions of the process model,2020-03-14 02:17:36,2020-03-23 01:47:48 (0.54),0.0187,"[Random activity 1, Random activity 2]",[],[]
event_log_64,control-flow,gradual,exponential distribution,2020-03-25 00:49:12,2020-03-28 03:55:05 (0.72),0.0841,[],[],"[f, h]"
event_log_65,control-flow,gradual,linear distribution,2020-03-24 00:49:05,2020-04-02 13:53:01 (0.75),0.0507,[],[],"[g, a]"
event_log_66,control-flow,recurring,1 seasonal changes,2020-03-18 15:25:29,2020-03-28 07:17:23 (0.63),0.0102,[Random activity 1],[],"[f, b, c]"
event_log_67,control-flow,recurring,3 seasonal changes,2020-03-27 08:20:12,2020-03-30 21:52:09 (0.8),0.0318,[],[],"[f, h]"
event_log_68,control-flow,sudden,N/A,2020-03-21 21:09:40,N/A,0.0181,[],[],"[b, j, a, i]"
event_log_69,control-flow,gradual,linear distribution,2020-03-21 12:40:05,2020-03-27 13:31:40 (0.63),0.0843,[Random activity 1],[c],[]
event_log_70,control-flow,gradual,linear distribution,2020-03-27 07:35:08,2020-03-31 06:37:52 (0.78),0.0815,[],[],"[a, i]"
event_log_71,control-flow,gradual,exponential distribution,2020-04-03 02:11:37,2020-04-07 23:51:00 (0.8),0.0813,[Random activity 1],[],"[f, h]"
event_log_72,control-flow,gradual,linear distribution,2020-03-17 06:43:45,2020-04-01 05:43:17 (0.77),0.0922,"[Random activity 1, Random activity 2, Random activity 3]",[],[]
event_log_73,control-flow,sudden,N/A,2020-03-23 17:20:46,N/A,0.004,[Random activity 1],[a],[]
event_log_74,control-flow,sudden,N/A,2020-03-17 17:40:20,N/A,0.0608,[Random activity 1],[],[]
event_log_75,control-flow,sudden,N/A,2020-03-27 06:07:59,N/A,0.0601,"[Random activity 1, Random activity 2]",[g],[]
event_log_76,control-flow,gradual,exponential distribution,2020-03-19 11:46:57,2020-04-01 08:13:53 (0.61),0.0618,[Random activity 1],[],[]
event_log_77,control-flow,incremental,5 versions of the process model,2020-03-26 01:45:40,2020-04-03 11:45:27 (0.78),0.073,"[Random activity 1, Random activity 2, Random activity 3, Random activity 4]",[],[]
event_log_78,control-flow,gradual,exponential distribution,2020-03-25 19:54:31,2020-03-29 15:38:25 (0.72),0.0815,[Random activity 1],[],[]
event_log_79,control-flow,gradual,linear distribution,2020-03-22 10:00:25,2020-03-28 19:06:03 (0.56),0.0593,[],[b],"[f, h]"
event_log_80,control-flow,recurring,1 seasonal changes,2020-03-28 22:11:03,2020-04-07 07:49:17 (0.72),0.0821,[Random activity 1],[],"[b, c]"
event_log_81,control-flow,sudden,N/A,2020-04-04 12:04:31,N/A,0.0338,"[Random activity 1, Random activity 2, Random activity 3]",[],[]
event_log_82,control-flow,gradual,exponential distribution,2020-03-23 05:17:25,2020-03-27 02:54:03 (0.74),0.0833,[],"[j, a, i]",[]
event_log_83,control-flow,incremental,6 versions of the process model,2020-03-26 12:41:40,2020-04-06 06:21:35 (0.78),0.0067,"[Random activity 1, Random activity 2, Random activity 2]","[Random activity 2, Random activity 2]",[]
event_log_84,control-flow,gradual,linear distribution,2020-03-22 04:35:01,2020-04-02 06:39:56 (0.78),0.0175,[Random activity 1],[],"[a, i]"
event_log_85,control-flow,sudden,N/A,2020-03-16 08:30:56,N/A,0.045,[Random activity 1],[g],[]
event_log_86,control-flow,incremental,4 versions of the process model,2020-03-20 04:46:23,2020-03-25 10:26:45 (0.65),0.0094,[],"[j, e, i]",[]
event_log_87,control-flow,sudden,N/A,2020-03-13 02:20:41,N/A,0.0417,"[Random activity 1, Random activity 2]",[],[]
event_log_88,control-flow,incremental,6 versions of the process model,2020-03-15 04:53:44,2020-03-21 21:36:36 (0.45),0.0155,"[Random activity 1, Random activity 2, Random activity 3]","[i, e]",[]
event_log_89,control-flow,gradual,exponential distribution,2020-03-18 10:55:44,2020-03-23 00:45:53 (0.48),0.0711,[],[e],[]
event_log_90,control-flow,sudden,N/A,2020-03-21 16:06:25,N/A,0.0088,[],[],"[a, g, f, h]"
event_log_91,control-flow,sudden,N/A,2020-04-01 06:35:10,N/A,0.0777,[Random activity 1],[],"[a, i]"
event_log_92,control-flow,sudden,N/A,2020-03-17 09:19:57,N/A,0.0498,[],[g],"[a, i]"
event_log_93,control-flow,gradual,linear distribution,2020-03-18 07:53:09,2020-03-23 03:30:20 (0.43),0.0045,[Random activity 1],"[a, h]",[]
event_log_94,control-flow,sudden,N/A,2020-03-15 07:32:01,N/A,0.0946,[],"[f, h]","[b, c]"
event_log_95,control-flow,sudden,N/A,2020-03-24 21:42:45,N/A,0.0835,"[Random activity 1, Random activity 2]",[g],[]
event_log_96,control-flow,gradual,exponential distribution,2020-03-16 20:43:23,2020-03-26 01:55:57 (0.48),0.0813,[],[f],[]
event_log_97,control-flow,recurring,1 seasonal changes,2020-03-16 05:01:01,2020-03-30 20:13:47 (0.75),0.0679,[],[],"[e, g, f, h]"
event_log_98,control-flow,sudden,N/A,2020-03-22 08:38:55,N/A,0.0896,[Random activity 1],"[f, e]",[]
event_log_99,control-flow,incremental,6 versions of the process model,2020-03-18 10:06:55,2020-03-25 17:16:59 (0.69),0.0906,[Random activity 1],"[e, c, i, j]",[]
